GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "35000","New Mexico",6,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",5957,6053,6378,6771,7097,7588,7991,8810,9322,10531,10570,9943,9609,8861,9643,10974,11257,11107,10661,9145,9869,10740,11110,12287,13899,13807,13771,13936,14340,13976,13713,17683,19310,20738,20498,19938,19541,21797,18442,18943,19610,21913,23792,22069,20617,21413,20517,21124,21104,22218,22639
 "36000","New York",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173361931,193258499,215680555,234418022,252683225,279483612,299163538,319479383,340642807,373665398,403909989,432317759,432542636,457271416,470053879,484730601,510818279,537881580,567955826,600601092,635835163,684590057,709767275,708251729,718318685,751244750,782613026,844018820,909175226,928501934,912779049,950069105,1004130275,1056671153,1069556187,1115351835,1164400328,1205507152,1289263179,1340903301,1395147453
 "36000","New York",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",62076423,66250513,69949017,74632451,78610986,82867102,86966002,92188717,99767180,109482922,119649145,130580298,142220840,152206771,164336665,180997101,195618417,211394371,230162636,253678574,269081996,289336572,283190092,301175793,308852364,316163898,329682844,347765099,371575564,394520640,426775435,462203094,482614598,480489439,483415394,502115181,515144915,548673005,584011767,586952025,579300445,608010395,640040799,671197655,679971674,701225734,725320291,750064810,792935898,829758017,863411186
 "36000","New York",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",7735011,8908863,10744444,11993488,13288688,15417976,19505937,20800119,21758731,22786351,24336744,27990635,31588108,34555281,37377372,39559098,41754843,44245838,45387119,48294931,53022952,58165404,64743574,72363763,76853613,80601199,85774610,89434649,89338318,93327732,96166747,100646255,107212678,116585763,121503312,130873782,130325537,137493181,143682569,157071275,172061946,182471397,185632567,184288360,185876168,189893332,200199901,205241605,221553641,214166508,229558711
 "36000","New York",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1270512,1564440,1913168,2026233,2023262,2501121,2937891,3235758,3456522,3536549,3599796,4187608,4398772,4680888,4993528,5200180,5406663,5761364,5809080,6291915,6733939,7513488,8513768,9662563,10631590,11389445,11979176,11668881,10650547,11493455,11641880,11566811,12110574,12927557,13408761,14311913,15125649,15670566,15931235,16626672,19668107,21121007,21372103,21849877,22132006,22443117,22392888,22172594,21549502,21187492,21751270
 "36000","New York",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",323488,531536,823112,839138,602403,837736,2164795,2073534,1636742,1326857,1045034,1309662,1091555,1293392,1490692,1306507,1250554,1194832,1054934,1044938,1320719,1790700,2630706,4715710,3434806,2297609,2172412,1980482,1758035,1595581,1621989,1676162,2657539,4271034,3947968,2642919,2435845,2258186,2179568,3330039,8421043,9273906,7491496,6933253,4998327,2547087,2341244,2221050,2209049,2076645,2075644
 "36000","New York",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",6141011,6812887,8008164,9128117,10663023,12079119,14403251,15490827,16665467,17922945,19691914,22493365,26097781,28581001,30893152,33052411,35097626,37289642,38523105,40958078,44968294,48861216,53599100,57985490,62787217,66914145,71623022,75785286,76929736,80238696,82902878,87403282,92444565,99387172,104146583,113918950,112764043,119564429,125571766,137114564,143972796,152076484,156768968,155505230,158745835,164903128,175465769,180847961,197795090,190902371,205731797
 "36000","New York",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",13814823,14736049,15427540,16207655,17672029,19779539,20941921,21992001,24114466,26314426,29376042,34687566,41871607,47655970,50969188,58927413,61790278,63839174,65093052,71691893,81805041,84815783,84608970,83731860,84347902,87965504,95360825,100681832,107041944,112752720,112892981,121740708,119939999,111176527,113399979,118255787,137142574,157852634,181480890,184478634,161416658,159587313,178456909,201185138,203708345,224232769,238880136,250200737,274773640,296978776,302177556
 "36000","New York",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
 "36000","New York",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32022,33673,36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48973,51496,53986,54501,56758,59243,61401,65814,68657,71717
 "36000","New York",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3429,3626,3809,4067,4321,4585,4823,5129,5589,6178,6785,7433,8096,8653,9291,10200,10995,11854,12881,14139,14963,16056,15626,16506,16808,17127,17798,18709,19917,21034,22601,24324,25291,25107,25209,26191,26925,28719,30525,30551,30005,31341,32824,34292,34649,35684,36903,38203,40477,42486,44383
 "36000","New York",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",427,488,585,654,730,853,1082,1157,1219,1286,1380,1593,1798,1965,2113,2229,2347,2481,2540,2692,2948,3228,3573,3966,4183,4366,4630,4811,4789,4976,5093,5297,5618,6092,6336,6826,6812,7197,7510,8176,8912,9406,9520,9415,9472,9663,10186,10454,11310,10966,11800
 "36000","New York",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",70,86,104,110,111,138,163,180,194,200,204,238,250,266,282,293,304,323,325,351,374,417,470,530,579,617,647,628,571,613,617,609,635,675,699,747,791,820,833,865,1019,1089,1096,1116,1128,1142,1139,1129,1100,1085,1118
 "36000","New York",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",18,29,45,46,33,46,120,115,92,75,59,75,62,74,84,74,70,67,59,58,73,99,145,258,187,124,117,107,94,85,86,88,139,223,206,138,127,118,114,173,436,478,384,354,255,130,119,113,113,106,107
 "36000","New York",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",339,373,436,497,586,668,799,862,934,1011,1117,1280,1486,1625,1747,1863,1973,2091,2156,2283,2501,2711,2958,3178,3417,3625,3866,4077,4123,4278,4390,4600,4844,5193,5431,5942,5894,6258,6563,7137,7457,7839,8040,7945,8089,8392,8927,9211,10097,9775,10576
 "36000","New York",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",763,806,840,883,971,1094,1161,1224,1351,1485,1666,1975,2383,2709,2882,3321,3473,3580,3643,3996,4549,4707,4669,4589,4590,4765,5148,5416,5738,6012,5979,6407,6285,5809,5914,6168,7168,8263,9486,9602,8360,8226,9152,10279,10380,11411,12154,12744,14027,15206,15533
 "36000","New York",2,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",70803749,75179247,79497388,85214226,90942602,96174857,100823878,107099769,115975087,127737172,140490034,153863806,168824908,181202665,195439621,215516567,233242093,252207346,273613065,301407791,318320493,338594370,333371632,356109135,364426623,373397731,390641156,412852549,441171536,469693251,505520129,548638706,572190478,568797371,574124515,600415292,620245263,664144387,712535089,718656257,696322777,733079453,762975496,798315181,819356563,849090084,879342646,907924526,961687310,1009024907,1052940614
 "36000","New York",2,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",57049665,60837002,63884832,68146125,73153079,77503113,80189797,84192941,89451550,97452827,106571952,116887823,128807482,138737297,148496085,163514222,176882778,190876728,206059376,223377456,233322840,245392960,245018173,258204754,263084589,269096144,280989016,296882365,315016781,339066583,360177591,394830380,404771436,394937712,401261528,426313901,446766536,481717980,523264422,534642698,496963524,518024638,537593324,553648371,564948356,601052548,627431725,641030793,675552911,708307947,740281297
 "36000","New York",2,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",7031478,7766264,8684597,9919488,10769750,11648987,13269799,14125935,15778152,17638659,19927219,22152765,25154913,27963805,30582844,33700990,36774648,40088303,42249090,45826828,49779226,52439077,55032779,60604464,62321972,64069706,65000478,65863039,67846160,72764764,76504146,82900417,85538860,88919355,94445776,99874038,105269118,109525466,116215154,121189404,121993052,126449318,128738156,132793599,140973549,142665218,148688441,148720737,156829039,165508591,171061772
 "36000","New York",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",4201256,4818539,5465335,6215104,6178283,6674036,8190585,8484874,9690690,10733001,12121907,13657614,15302176,17285176,19024056,20400683,22579726,24627221,25935300,27839033,31299081,33773986,35980767,40602743,41905500,42827918,43260792,43558305,44771385,48622441,51462024,55789169,57205740,59995586,64529038,68511575,72761474,75382903,80429620,84094250,86289510,89840659,90831034,93707740,100291337,99567871,103761000,103158173,109172251,116751140,120798132
 "36000","New York",2,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",2830222,2947725,3219262,3704384,4591467,4974951,5079214,5641061,6087462,6905658,7805312,8495151,9852737,10678629,11558788,13300307,14194922,15461082,16313790,17987795,18480145,18665091,19052012,20001721,20416472,21241788,21739686,22304734,23074775,24142323,25042122,27111248,28333120,28923769,29916738,31362463,32507644,34142563,35785534,37095154,35703542,36608659,37907122,39085859,40682212,43097347,44927441,45562564,47656788,48757451,50263640
 "36000","New York",2,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",6722606,6575981,6927959,7148613,7019773,7022757,7364282,8780893,10745385,12645686,13990863,14823218,14862513,14501563,16360692,18301355,19584667,21242315,25304599,32203507,35218427,40762333,33320680,37299917,39020062,40231881,44651662,50107145,58308595,57861904,68838392,70907909,81880182,84940304,78417211,74227353,68209609,72900941,73055513,62824155,77366201,88605497,96644016,111873211,113434658,105372318,103222480,118172996,129305360,135208369,141597545
 "36000","New York",2,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",320712,298662,282009,226551,314741,262008,174131,195348,100508,207742,290219,269177,286934,229198,91424,219738,285428,399033,476761,358496,464579,405076,280164,389904,400216,285005,108237,327766,-1288,226396,343903,282764,409605,77477,293150,511949,580132,385464,641738,869342,346868,924950,1304726,1065563,1418840,1379806,681975,400374,800654,431748,1027309
 "36000","New York",2,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",6401894,6277319,6645950,6922062,6705032,6760749,7190151,8585545,10644877,12437944,13700644,14554041,14575579,14272365,16269268,18081617,19299239,20843282,24827838,31845011,34753848,40357257,33040516,36910013,38619846,39946876,44543425,49779379,58309883,57635508,68494489,70625145,81470577,84862827,78124061,73715404,67629477,72515477,72413775,61954813,77019333,87680547,95339290,110807648,112015818,103992512,102540505,117772622,128504706,134776621,140570236
 "36000","New York",2,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",8494052,8465868,8345341,8348261,8465363,8392017,8172219,8125400,8198948,8384019,8580543,8602022,8665868,8672716,8729621,9002728,9227207,9424256,9471509,9684192,9752014,9727348,9482658,9410147,9431043,9464935,9511472,9595379,9731824,9901394,10164527,10424526,10438676,10348345,10377811,10513327,10654520,10810191,11082809,11197699,10984350,11005742,11294064,11432840,11619137,11865518,12099185,12259144,12389041,12651360,12873579
 "36000","New York",2,CAINC30,250,"..."," Wage and salary employment","Number of jobs",7592312,7553616,7418832,7433590,7554953,7500888,7274368,7209067,7251766,7424427,7600633,7594121,7669153,7640552,7679331,7943667,8105206,8243279,8399373,8502329,8568865,8494852,8244407,8089289,8101252,8142377,8161040,8186384,8301559,8471480,8669419,8840737,8791179,8660631,8617807,8665131,8725242,8809666,8939062,8999439,8724856,8708911,8807999,8932772,9051229,9220265,9386497,9511415,9625594,9794133,9914379
 "36000","New York",2,CAINC30,260,"..."," Proprietors employment","Number of jobs",901740,912252,926509,914671,910410,891129,897851,916333,947182,959592,979910,1007901,996715,1032164,1050290,1059061,1122001,1180977,1072136,1181863,1183149,1232496,1238251,1320858,1329791,1322558,1350432,1408995,1430265,1429914,1495108,1583789,1647497,1687714,1760004,1848196,1929278,2000525,2143747,2198260,2259494,2296831,2486065,2500068,2567908,2645253,2712688,2747729,2763447,2857227,2959200
 "36000","New York",2,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",49793,49214,48628,47854,48146,49150,49801,48446,47480,47247,48380,47496,47560,48758,52992,50254,47019,45418,43766,42350,40678,39972,39288,39407,39737,39400,38898,38475,38676,38991,39735,38963,38249,37087,35404,33587,32944,31639,32459,32649,32482,32327,32281,31786,32230,31525,31476,31036,30627,30600,30605
 "36000","New York",2,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",851947,863038,877881,866817,862264,841979,848050,867887,899702,912345,931530,960405,949155,983406,997298,1008807,1074982,1135559,1028370,1139513,1142471,1192524,1198963,1281451,1290054,1283158,1311534,1370520,1391589,1390923,1455373,1544826,1609248,1650627,1724600,1814609,1896334,1968886,2111288,2165611,2227012,2264504,2453784,2468282,2535678,2613728,2681212,2716693,2732820,2826627,2928595
 "36000","New York",2,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",8336,8880,9526,10207,10743,11460,12337,13181,14145,15236,16373,17887,19482,20893,22388,23939,25278,26762,28888,31124,32642,34808,35156,37843,38641,39451,41071,43026,45333,47437,49734,52630,54814,54965,55322,57110,58214,61437,64292,64179,63392,66609,67555,69826,70518,71559,72678,74061,77624,79756,81791
 "36000","New York",2,CAINC30,300,"..."," Average wages and salaries","Dollars",7514,8054,8611,9167,9683,10333,11024,11679,12335,13126,14021,15392,16796,18158,19337,20584,21823,23155,24533,26273,27229,28887,29719,31919,32475,33049,34431,36265,37947,40024,41546,44660,46043,45601,46562,49199,51204,54681,58537,59408,56960,59482,61035,61979,62417,65188,66844,67396,70183,72320,74667
 "36000","New York",2,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",7514,7274,7570,7986,7776,8030,8478,9892,11832,13633,14708,15154,15356,14513,16313,17924,17953,18355,24143,27946,30420,33842,27558,28803,29937,31132,33963,36322,41902,41437,47063,45717,50626,51412,45300,40623,35663,36831,34298,28608,34584,38720,38854,44893,44176,39787,38244,43351,47023,47681,47999
 "37000","North Carolina",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198775179,208769698,222564907,228879962,232267281,241625829,261640155,281033775,306078047,329509436,350848256,338315713,341627602,355052267,379925288,376023938,397995957,419717441,434788999,455997111,479791844,500973833
 "37000","North Carolina",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",12814330,13713363,14819157,16817107,18987953,20462957,21390264,23930889,26240026,29762816,32600472,35527529,39062090,40915923,44614632,50703143,54804427,59153017,64573517,70416061,75611415,79737706,82527210,90478613,96022428,102342765,108344953,114940893,123760153,132681039,140807015,150113071,153082958,154938421,161245004,174761819,186671375,202789451,216581913,227955466,214629493,214987758,220647091,239177113,234605357,246780841,258072819,267849359,281200688,295259797,309920039
